#options: 640x1138 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=901 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:133 out:130 type:P dur:2 cpbdur:2 q:34.66 aq:29.90 tex:48002 mv:10116 misc:2522 imb:116 pmb:1527 smb:1237 d:- ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:34.77 aq:35.46 tex:1713 mv:2640 misc:1183 imb:4 pmb:263 smb:2613 d:- ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:34.82 aq:36.01 tex:226 mv:606 misc:512 imb:0 pmb:65 smb:2815 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:34.71 aq:36.61 tex:679 mv:1241 misc:808 imb:0 pmb:155 smb:2725 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:34.41 aq:30.06 tex:66697 mv:11883 misc:2340 imb:187 pmb:1561 smb:1132 d:- ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:34.53 aq:34.53 tex:6084 mv:5813 misc:1663 imb:14 pmb:531 smb:2335 d:- ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:34.60 aq:36.67 tex:1710 mv:2510 misc:860 imb:4 pmb:219 smb:2657 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:34.47 aq:35.56 tex:1896 mv:2686 misc:1010 imb:0 pmb:265 smb:2615 d:- ref:0 ;
in:141 out:138 type:P dur:2 cpbdur:2 q:34.32 aq:29.48 tex:87699 mv:14452 misc:1905 imb:365 pmb:1649 smb:866 d:- ref:0 ;
in:139 out:139 type:B dur:2 cpbdur:2 q:34.37 aq:33.16 tex:10830 mv:7931 misc:1551 imb:54 pmb:587 smb:2239 d:- ref:0 ;
in:138 out:140 type:b dur:2 cpbdur:2 q:34.39 aq:34.38 tex:2754 mv:3483 misc:1307 imb:12 pmb:365 smb:2503 d:- ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:34.34 aq:34.82 tex:4294 mv:5120 misc:1162 imb:22 pmb:383 smb:2475 d:- ref:0 ;
